model,eng_cap,prod_year,power,fuel_type,car_body,mileage,color,condition,transmission,origin,price
Golf,1 598 cm³,2019,115 KM,Diesel,Kombi,247 000 km,Srebrny,Nieuszkodzony,Automatyczna,Niemcy,42 900 zł
Golf,1 395 cm3,2017,150 KM,Benzyna,Auta małe,63 130 km,Czarny,Używane,Automatyczna,Polska,63 700PLN
Golf,1 390 cm3,2010,160 KM,Benzyna,Kompakt,178 000 km,Czarny,Używane,Manualna,Holandia,25 900PLN
Golf,1 896 cm³,2008,105 KM,Diesel,Kombi,387 000 km,Czarny,Nieuszkodzony,Manualna,Unknown,7 000 złdo negocjacji
Golf,1 968 cm3,2007,140 KM,Diesel,Kompakt,360 000 km,Czarny,Używane,Manualna,Unknown,11 000PLN
Golf,1 968 cm3,2015,150 KM,Diesel,Kompakt,150 000 km,Niebieski,Używane,Automatyczna,Unknown,49 500PLN
Golf,1 197 cm3,2011,105 KM,Benzyna,Kompakt,170 000 km,Granatowy,Używane,Manualna,Niemcy,26 600PLN
Golf,1 598 cm3,2012,105 KM,Diesel,Kombi,196 350 km,Biały,Używane,Manualna,Niemcy,21 300PLN
Golf,1 600 cm³,2013,105 KM,Diesel,Hatchback,172 500 km,Czarny,Nieuszkodzony,Manualna,Unknown,33 900 zł
Golf,1 598 cm3,2013,105 KM,Diesel,Kombi,246 000 km,Srebrny,Używane,Manualna,Polska,28 000PLN
Golf,1 600 cm³,2009,102 KM,Benzyna,Hatchback,230 000 km,Szary,Nieuszkodzony,Manualna,Unknown,14 999 złdo negocjacji
Golf,1 900 cm³,2004,105 KM,Diesel,Hatchback,330 452 km,Czarny,Nieuszkodzony,Manualna,Inny,9 900 złdo negocjacji
Golf,1 390 cm3,2011,122 KM,Benzyna,Kompakt,161 000 km,Biały,Używane,Automatyczna,Francja,17 900PLN
Golf,1 600 cm³,2009,90 KM,Diesel,Hatchback,282 000 km,Srebrny,Nieuszkodzony,Manualna,Unknown,19 800 złdo negocjacji
Golf,1 400 cm³,1998,Unknown,Benzyna,Hatchback,156 000 km,Zielony,Nieuszkodzony,Manualna,Polska,2 400 złdo negocjacji
Golf,1 390 cm3,2009,80 KM,Benzyna,Kompakt,117 000 km,Srebrny,Używane,Manualna,Unknown,24 999PLN
Golf,1 390 cm3,2009,122 KM,Benzyna,Kompakt,183 000 km,Czarny,Używane,Manualna,Niemcy,23 500PLN
Golf,1 498 cm3,2021,130 KM,Benzyna,Kombi,160 000 km,Biały,Używane,Manualna,Polska,65 000PLN
Golf,1 900 cm³,2005,130 KM,Diesel,Kombi,400 km,Srebrny,Nieuszkodzony,Manualna,Niemcy,3 800 zł
Golf,1 968 cm3,2024,115 KM,Diesel,Kombi,10 km,Srebrny,Nowe,Manualna,Unknown,132 200PLN
Golf,1 457 cm3,1975,70 KM,Benzyna,Auta małe,149 000 km,Zielony,Używane,Manualna,Unknown,23 700PLN
Golf,1 896 cm3,2004,105 KM,Diesel,Kompakt,253 000 km,Czarny,Używane,Automatyczna,Niemcy,22 800PLN
Golf,1 400 cm³,2008,170 KM,Benzyna,Hatchback,270 000 km,Czarny,Nieuszkodzony,Manualna,Niemcy,18 750 zł
Golf,1 984 cm3,2004,150 KM,Benzyna,Auta miejskie,299 689 km,Niebieski,Używane,Manualna,Unknown,9 900PLN
Golf,1 999 cm³,2008,140 KM,Diesel,Kombi,230 000 km,Szary,Nieuszkodzony,Manualna,Polska,12 500 zł
Golf,1 390 cm3,2008,80 KM,Benzyna,Auta miejskie,188 693 km,Granatowy,Używane,Manualna,Unknown,14 500PLN
Golf,1 968 cm3,2011,140 KM,Diesel,Kombi,376 700 km,Czarny,Używane,Manualna,Niemcy,22 000PLN
